Date,Close
0,122.32449485600073
1,121.88353824346635
2,121.44118166839095
3,120.99742518890253
4,120.55226880206206
5,120.10571250801816
6,119.6577563067633
7,119.20840019829788
8,118.75764418262186
9,118.30548825973526
